id,name,price,rating,review_count,url,transactions,is_closed,address1,address2,address3,city,zip_code,country,state,display_address,category_1_type,category_1_title,category_2_type,category_2_title,category_3_type,category_3_title
yOYw8oFAeWLCYzjMoBLl1A,Ampersand Asian Supper Club,$$,4.4,263,https://www.yelp.com/biz/ampersand-asian-supper-club-columbus-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,940 N High St,,,Columbus,43201,US,OH,"940 N High St, Columbus, OH 43201",ramen,Ramen,,,,
vutj1XaYL7yV-SXPRBXe0Q,Kyushu Ramen Bar,$$,4.4,121,https://www.yelp.com/biz/kyushu-ramen-bar-no-title?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,1280 W 5th Ave,,,Columbus,43212,US,OH,"1280 W 5th Ave, Columbus, OH 43212",ramen,Ramen,,,,
JUOnEujJEgrHV6EWvwtqMA,Sushi Time,$$,3.3,162,https://www.yelp.com/biz/sushi-time-columbus-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,2653 N High St,,,Columbus,43202,US,OH,"2653 N High St, Columbus, OH 43202",sushi,Sushi Bars,japanese,Japanese,,
apOJUav4sZymt_Tj0zEDgQ,Oshio,$$,4.2,225,https://www.yelp.com/biz/oshio-columbus-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,974 W 5th Ave,,,Columbus,43212,US,OH,"974 W 5th Ave, Columbus, OH 43212",sushi,Sushi Bars,japanese,Japanese,korean,Korean
n-yw1FfAnXZzL3Uce7DodQ,Tai's Asian Bistro,$$,3.9,568,https://www.yelp.com/biz/tais-asian-bistro-columbus?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,1285 W Lane Ave,,,Columbus,43221,US,OH,"1285 W Lane Ave, Columbus, OH 43221",chinese,Chinese,sushi,Sushi Bars,japanese,Japanese
ei7tFGEM4y3r2Jtw5FAyKQ,Akai Hana,$$,4.3,742,https://www.yelp.com/biz/akai-hana-columbus?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,1173 Old Henderson Rd,,,Columbus,43220,US,OH,"1173 Old Henderson Rd, Columbus, OH 43220",japanese,Japanese,sushi,Sushi Bars,seafood,Seafood
4qa5ak2f2T-YiOyCpsHVWg,Kooma sushi Restaurant,$$,3.6,176,https://www.yelp.com/biz/kooma-sushi-restaurant-columbus?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['pickup'],False,37 Vine St,,,Columbus,43215,US,OH,"37 Vine St, Columbus, OH 43215",japanese,Japanese,sushi,Sushi Bars,korean,Korean
Po04RrxsZXBEH5hlXStA5w,Satori Ramen Bar,$$,3.9,107,https://www.yelp.com/biz/satori-ramen-bar-columbus?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,59 Spruce St,,,Columbus,43215,US,OH,"59 Spruce St, Columbus, OH 43215",ramen,Ramen,tapasmallplates,Tapas/Small Plates,,
WCpnE2YZdj0OBGTdnEhexg,Poke Bunny,$$,4.7,26,https://www.yelp.com/biz/poke-bunny-columbus?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,100 E Gay St,Unit 1,,Columbus,43215,US,OH,"100 E Gay St, Unit 1, Columbus, OH 43215",poke,Poke,ramen,Ramen,bubbletea,Bubble Tea
bxIhfB5Nt3Qm8AaEhBLbyg,FUSIAN,$,4.0,186,https://www.yelp.com/biz/fusian-columbus-3?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,855 W 5th Ave,,,Columbus,43212,US,OH,"855 W 5th Ave, Columbus, OH 43212",sushi,Sushi Bars,japanese,Japanese,,
t8RoYyfKUmG_eZXA9d5hoA,Hokkaido Ramen House,$$,4.5,65,https://www.yelp.com/biz/hokkaido-ramen-house-omaha?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,1303 S 72nd St,Ste 101,,Omaha,68124,US,NE,"1303 S 72nd St, Ste 101, Omaha, NE 68124",ramen,Ramen,bubbletea,Bubble Tea,gluten_free,Gluten-Free
51nASBxuHaLLPlRKXubFPA,JINYA Ramen Bar - Omaha,$$,4.3,368,https://www.yelp.com/biz/jinya-ramen-bar-omaha-omaha?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,7010 Dodge St,Ste 106,,Omaha,68132,US,NE,"7010 Dodge St, Ste 106, Omaha, NE 68132",ramen,Ramen,,,,
7DHBYnsQ2c-Q33DtFGs6bA,Rizin Japanese Ramen,$$,4.5,117,https://www.yelp.com/biz/rizin-japanese-ramen-omaha?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,2814 S 108th St,,,Omaha,68144,US,NE,"2814 S 108th St, Omaha, NE 68144",ramen,Ramen,,,,
xm2VnvlY2AFyg04esOtZTw,Yamato Sushi,$$,3.9,193,https://www.yelp.com/biz/yamato-sushi-omaha?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,7429 Pacific St,,,Omaha,68114,US,NE,"7429 Pacific St, Omaha, NE 68114",conveyorsushi,Conveyor Belt Sushi,sushi,Sushi Bars,chinese,Chinese
VMFLM5mNTO5I3tD7LB8C7w,Ika Ramen and Izakaya,$$,3.8,352,https://www.yelp.com/biz/ika-ramen-and-izakaya-omaha?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['pickup', 'delivery']",False,6109 Maple St,,,Omaha,68104,US,NE,"6109 Maple St, Omaha, NE 68104",ramen,Ramen,izakaya,Izakaya,noodles,Noodles
NcRDiRnFaSYgVb9qXVSg7w,Sakura Bana,$$,4.1,169,https://www.yelp.com/biz/sakura-bana-omaha?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,['delivery'],False,7425 Dodge St,,,Omaha,68114,US,NE,"7425 Dodge St, Omaha, NE 68114",japanese,Japanese,sushi,Sushi Bars,,
